Processed,ID,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Note,Tags
Out of Scope,3337,Wed Aug 06 10:39:06 CDT 2025,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=115.13&pver=2.2,403,Forbidden,0,130,40,,false,
Processed,3338,Wed Aug 06 10:39:08 CDT 2025,GET,http://localhost:3000/,200,OK,13,469,80117,Medium,false,
Processed,3339,Wed Aug 06 10:39:09 CDT 2025,GET,http://localhost:3000/main.js,200,OK,51,483,457995,Medium,false,
Processed,3340,Wed Aug 06 10:39:09 CDT 2025,GET,http://localhost:3000/runtime.js,200,OK,56,479,3315,Medium,false,
Processed,3341,Wed Aug 06 10:39:09 CDT 2025,GET,http://localhost:3000/polyfills.js,200,OK,62,481,34840,Medium,false,
Processed,3342,Wed Aug 06 10:39:09 CDT 2025,GET,http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.js,200,OK,122,915,20808,Medium,false,
Processed,3343,Wed Aug 06 10:39:09 CDT 2025,GET,http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.css,200,OK,169,908,4064,Medium,false,
Processed,3344,Wed Aug 06 10:39:09 CDT 2025,GET,http://localhost:3000/vendor.js,200,OK,98,485,1622583,Medium,false,
Processed,3345,Wed Aug 06 10:39:09 CDT 2025,GET,http://cdnjs.cloudflare.com/ajax/libs/jquery/2.2.4/jquery.min.js,200,OK,166,913,85578,Medium,false,
Processed,3346,Wed Aug 06 10:39:10 CDT 2025,GET,http://localhost:3000/assets/public/favicon_js.ico,200,OK,7,456,15086,Medium,false,
Processed,3347,Wed Aug 06 10:39:11 CDT 2025,GET,http://localhost:3000/styles.css,200,OK,44,469,685248,Medium,false,
Processed,3348,Wed Aug 06 10:39:11 CDT 2025,GET,http://localhost:3000/assets/i18n/en.json,200,OK,7,475,32473,Medium,false,
Processed,3349,Wed Aug 06 10:39:12 CDT 2025,GET,http://localhost:3000/socket.io/?EIO=4&transport=polling&t=PY02LK5,200,OK,4,230,96,Low,false,
Processed,3350,Wed Aug 06 10:39:12 CDT 2025,GET,http://localhost:3000/rest/admin/application-version,200,OK,14,384,20,Medium,false,
Processed,3351,Wed Aug 06 10:39:12 CDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,200,OK,27,389,21730,Medium,false,
Processed,3352,Wed Aug 06 10:39:12 CDT 2025,GET,http://localhost:3000/rest/admin/application-version,304,Not Modified,21,304,0,Medium,false,
Processed,3353,Wed Aug 06 10:39:12 CDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,304,Not Modified,30,306,0,Medium,false,
Processed,3354,Wed Aug 06 10:39:12 CDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,200,OK,30,389,21730,Medium,false,
Processed,3355,Wed Aug 06 10:39:12 CDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,200,OK,73,389,21730,Medium,false,
Processed,3356,Wed Aug 06 10:39:12 CDT 2025,GET,http://localhost:3000/rest/languages,200,OK,188,388,4719,Medium,false,
Processed,3357,Wed Aug 06 10:39:12 CDT 2025,GET,http://localhost:3000/assets/public/images/JuiceShop_Logo.png,200,OK,10,431,75029,Medium,false,
Processed,3358,Wed Aug 06 10:39:12 CDT 2025,GET,http://localhost:3000/api/Challenges/?name=Score%20Board,200,OK,411,386,696,Medium,false,
Processed,3359,Wed Aug 06 10:39:12 CDT 2025,GET,http://localhost:3000/api/Challenges/?name=Score%20Board,200,OK,386,386,696,Medium,false,
Processed,3360,Wed Aug 06 10:39:13 CDT 2025,GET,http://localhost:3000/rest/products/search?q=,200,OK,79,389,13644,Medium,false,
Processed,3361,Wed Aug 06 10:39:13 CDT 2025,GET,http://localhost:3000/api/Quantitys/,200,OK,135,388,6258,Medium,false,
Processed,3362,Wed Aug 06 10:39:13 CDT 2025,GET,http://localhost:3000/MaterialIcons-Regular.woff2,200,OK,10,431,60840,Medium,false,
Processed,3363,Wed Aug 06 10:39:14 CDT 2025,POST,http://localhost:3000/socket.io/?EIO=4&transport=polling&t=PY02Lvi&sid=qNB87hPrSF8AhktBAAAV,200,OK,10,213,2,Medium,false,
Processed,3364,Wed Aug 06 10:39:14 CDT 2025,GET,http://localhost:3000/socket.io/?EIO=4&transport=polling&t=PY02Lvp&sid=qNB87hPrSF8AhktBAAAV,200,OK,9,230,32,Medium,false,
Processed,3365,Wed Aug 06 10:39:14 CDT 2025,GET,http://localhost:3000/socket.io/?EIO=4&transport=websocket&sid=qNB87hPrSF8AhktBAAAV,101,Switching Protocols,11,129,0,Medium,false,
Processed,3366,Wed Aug 06 10:39:15 CDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,304,Not Modified,5,306,0,Medium,false,
Processed,3367,Wed Aug 06 10:39:15 CDT 2025,GET,http://localhost:3000/assets/public/images/products/apple_juice.jpg,200,OK,17,431,15291,Medium,false,
Processed,3368,Wed Aug 06 10:39:15 CDT 2025,GET,http://localhost:3000/assets/public/images/products/apple_pressings.jpg,200,OK,11,431,29163,Medium,false,
Processed,3369,Wed Aug 06 10:39:15 CDT 2025,GET,http://localhost:3000/assets/public/images/products/banana_juice.jpg,200,OK,5,431,19833,Medium,false,
Processed,3370,Wed Aug 06 10:39:15 CDT 2025,GET,http://localhost:3000/assets/public/images/products/artwork2.jpg,200,OK,3,431,35878,Medium,false,
Processed,3371,Wed Aug 06 10:39:15 CDT 2025,GET,http://localhost:3000/assets/public/images/products/carrot_juice.jpeg,200,OK,4,431,19001,Medium,false,
Processed,3372,Wed Aug 06 10:39:15 CDT 2025,GET,http://localhost:3000/assets/public/images/products/eggfruit_juice.jpg,200,OK,14,431,15072,Medium,false,
Processed,3373,Wed Aug 06 10:39:15 CDT 2025,GET,http://localhost:3000/assets/public/images/products/fruit_press.jpg,200,OK,7,431,17080,Medium,false,
Processed,3374,Wed Aug 06 10:39:15 CDT 2025,GET,http://localhost:3000/assets/public/images/products/green_smoothie.jpg,200,OK,10,431,15910,Medium,false,
Processed,3375,Wed Aug 06 10:39:15 CDT 2025,GET,http://localhost:3000/assets/public/images/products/permafrost.jpg,200,OK,8,432,93641,Medium,false,
Processed,3376,Wed Aug 06 10:39:15 CDT 2025,GET,http://localhost:3000/assets/public/images/products/lemon_juice.jpg,200,OK,9,431,17038,Medium,false,
